BootstrapReplicate,AP_HRGGM,AP_LVGGM,AP_PriorCorrelation,Enrichment721_HRGGM,Enrichment721_LVGGM,Enrichment721_PriorCorrelation
203,0.270911588560567,0.185221571315478,0.20352030617291,1.46640375649616,1.16158949250539,1.33459218287853
204,0.287793359901062,0.186812491465083,0.2041954959253,1.54878599000719,1.17806593920759,1.26868639606972
205,0.268802310437074,0.185651289281967,0.203224266273958,1.48288020319837,1.25220994936751,1.2192570559631
206,0.274532175315321,0.188979529615777,0.203826051735167,1.54054776665608,1.23573350266531,1.38402152298514
207,0.294028029406022,0.187926365331751,0.196899333078355,1.55702421335829,1.26044817271861,1.211018832612
208,0.288336811183673,0.172711337970948,0.20491388505369,1.43345086309176,1.05449258894106,1.26044817271861
209,0.294727381765153,0.18808995368069,0.197877719205883,1.56526243670939,1.26868639606972,1.211018832612
210,0.258003257285594,0.179994503830755,0.203808847214145,1.23573350266531,1.14511304580318,1.22749527931421
211,0.274064052109484,0.177626214649758,0.195721389473301,1.48288020319837,1.12039837574988,1.24397172601641
212,0.298796932720924,0.186088789986526,0.199715760400829,1.63940644686931,1.22749527931421,1.24397172601641
213,0.264099954199256,0.178772421129607,0.202456310556205,1.44168908644286,1.1863041625587,1.26868639606972
214,0.303652706555704,0.187145761239896,0.205253526567712,1.56526243670939,1.1863041625587,1.29340106612302
215,0.289187605344582,0.187038027352301,0.205931371073586,1.44992730979396,1.16982771585649,1.23573350266531
216,0.270992121617174,0.203619037170776,0.20566669500025,1.40873619303845,1.38402152298514,1.28516284277192
217,0.277105877046103,0.183181493624764,0.203643693503311,1.49111842654947,1.22749527931421,1.34283040622963
218,0.279224625187045,0.194927553685884,0.194057293809143,1.58173888341159,1.28516284277192,1.24397172601641
219,0.264411248634044,0.186971427223077,0.19577177342829,1.40049796968735,1.25220994936751,1.23573350266531
220,0.285804879780065,0.186631211745828,0.205108966014442,1.614691776816,1.2027806092609,1.25220994936751
221,0.259264153562016,0.175816545340968,0.195721750191549,1.46640375649616,1.13687482245208,1.30163928947412
222,0.29766085850828,0.205220102407679,0.217447207906664,1.68059756362482,1.44168908644286,1.40873619303845
223,0.291719225752553,0.188097635595043,0.223820012681008,1.56526243670939,1.2192570559631,1.40049796968735
224,0.276172762346327,0.182346255134634,0.190699722558848,1.48288020319837,1.15335126915429,1.15335126915429
225,0.251633410655053,0.205720223940527,0.203305443366301,1.39225974633625,1.35106862958074,1.30163928947412
226,0.273447010789123,0.171880916329635,0.186814162971018,1.42521263974065,1.07920725899437,1.2192570559631
227,0.278821131326794,0.180365741076464,0.183370042579887,1.54054776665608,1.08744548234547,1.2027806092609
228,0.29731119839521,0.186591149374163,0.203034983348723,1.5982153301138,1.25220994936751,1.26044817271861
229,0.282642174286685,0.180356272244771,0.199127468316789,1.54054776665608,1.10392192904767,1.29340106612302
230,0.2800297717043,0.177370490866857,0.188491165237907,1.44992730979396,1.12039837574988,1.2192570559631
